trans_id	transaction_date	cardholder_name	card_number	merchant	amount	merchant_category
SBD-9460674656	6/16/2019	Berry Spuffard	374283389468562	Mynte	$54133.32	Music
LQE-6480134121	9/29/2018	La verne Kempshall	3577451261028635	Realbuzz	$96771.82	Electronics
COI-4428069984	9/29/2018	Pall Steutly	3571548602223423	Zoomcast	$47263.90	Kids
YHT-8369629508	12/8/2018	Chelsae Buddle	6761095244130387	Wordify	$33189.67	Movies
UUK-2596378271	7/8/2019	Nicko Stansbury	3581279543606819	Meedoo	$70307.05	Computers
SCU-5859705878	8/13/2018	Berti Brighty	5002352811609892	Rhybox	$34815.24	Beauty
QYQ-5368956577	4/30/2019	Diane-marie Barnewall	3534605046766445	Skibox	$26380.67	Shoes
IZG-1086586129	5/2/2019	Patsy Asbrey	3547206830413594	Dabtype	$84169.87	Health
CMI-6935892870	2/17/2019	Zea Sargant	30166850617070	Lazz	$85985.21	Grocery
PLY-6935788866	6/30/2019	Elicia Weatherell	561034512059322839	Photobug	$97644.07	Grocery
WWQ-7844938114	7/18/2019	Dominica Brockhurst	633428679897554591	Photobug	$64990.78	Beauty
XPH-7778613847	12/27/2018	Rosella Woodhams	6706906557321056814	Lazzy	$97838.85	Shoes
JYW-7811931948	8/11/2018	Kalvin Broadway	3551793153198475	Kaymbo	$5212.91	Tools
XWM-7871275408	10/5/2018	Shellysheldon Lelande	3531427668601872	Jayo	$64193.95	Grocery
KEV-4503129876	10/23/2018	Katina Versey	3555300022551672	Realbridge	$47944.86	Garden
UPL-3608607409	12/13/2018	Raine Smallpiece	3531677504740272	Minyx	$59731.56	Home
YMO-0775254344	4/1/2019	Doloritas Bote	3572765000880856	Photobug	$77113.69	Tools
ENJ-1426370318	10/26/2018	Iver Scahill	5100132481911278	Jabbersphere	$99185.97	Home
TTU-7991062018	3/19/2019	Marysa Yewdell	5602250869358491	Edgeclub	$17013.68	Baby
LOD-1116394681	5/12/2019	Morly Gartrell	5492239940069576	Digitube	$82368.91	Music
BDR-1833690498	12/15/2018	Ellswerth Bernocchi	6373946797738291	Edgeblab	$23958.14	Shoes
ICD-1491083234	2/3/2019	Bailie Goodered	30440906013497	Blogtag	$93557.45	Industrial
OFC-5213990181	5/22/2019	Wylma Allison	4175005646136945	Cogibox	$16979.64	Clothing
DTZ-4730982816	12/25/2018	Cornell Matissoff	3534148546510971	Buzzshare	$33212.58	Toys
IZT-8394538752	10/7/2018	Florida Bonnyson	3563644641158355	Eamia	$23498.56	Automotive
YDZ-2341053323	11/23/2018	Beatriz Spennock	3573435243272407	Kazio	$8400.29	Clothing
XRK-0445584128	9/17/2018	Lennard Ilyushkin	676159674206259895	Kanoodle	$72526.61	Baby
KVB-8093595032	11/28/2018	Lorilee Mordecai	201410096666910	Babbleblab	$26014.94	Health
XDJ-9742127537	10/31/2018	Dall Mandifield	3555550387838201	Browseblab	$27009.25	Automotive
BYF-8663601516	4/11/2019	Desirae Nutley	201428128840329	Divanoodle	$40188.05	Toys
KDA-6116346744	12/2/2018	Damiano Godrich	3562184451601823	Yodo	$33195.95	Sports
YQI-5970751901	9/14/2018	Alfons Frarey	4017958153389	Skaboo	$60168.67	Music
IMG-5444404781	5/28/2019	Giuseppe Rawcliffe	3565634746211736	Divavu	$74481.48	Jewelery
SYL-5239153315	6/5/2019	Jacenta Allenby	3534386497383861	Kare	$36560.50	Electronics
AGP-4408106285	8/12/2018	Reggis Berkely	5560023788181934	Kwideo	$11401.58	Tools
CHO-1719045159	8/27/2018	Kerry Wherton	5229991088387463	Blogpad	$37822.36	Toys
NWI-6530007377	9/12/2018	Gilberta Dean	6389176838063671	Wikibox	$15042.53	Games
KCY-5626159954	11/14/2018	Coletta MacNulty	378566682596394	Jabbersphere	$29654.39	Tools
WDM-3272917812	1/28/2019	Abby Sidnell	4911939963547371871	Dazzlesphere	$66607.54	Grocery
OFW-7308634445	7/15/2019	Mel Halfpenny	36646815500762	Tagcat	$21928.16	Beauty
RSI-2922856823	5/12/2019	Delila Decourt	3584062498934882	Brainlounge	$29447.01	Health
PFP-4793353600	2/10/2019	Smith Konrad	493677852782119849	Quinu	$92283.66	Electronics
IMR-8481078447	4/1/2019	Heriberto Brookesbie	3578718381953028	Jamia	$59999.76	Toys
GID-0476200024	6/12/2019	Maddalena Gilbard	337941048139819	BlogXS	$86602.30	Baby
MVM-0336289229	7/13/2019	Dorri Jeanon	3578938968267077	Twimbo	$34689.85	Toys
BEX-1196402876	5/25/2019	Bambie Cochran	3547141135105407	Quire	$4862.98	Shoes
AIZ-4572438079	3/27/2019	Bale Tremlett	5585900457717034	Kare	$38459.73	Sports
OLT-8900106064	4/19/2019	Nelie Arundel	30563547018193	Ooba	$74806.57	Health
TSI-4054157457	6/8/2019	Jeannine Darracott	3571616353791649	Rhyzio	$63148.93	Computers
VSM-7550907562	6/17/2019	Henrieta Parsley	6759507048884403074	Photofeed	$70262.04	Industrial
HDR-2847343703	1/28/2019	Brose Brennand	3563654315260551	Fatz	$20401.00	Tools
YRN-8510380601	10/1/2018	Marcela Riggs	5355989046437483	Npath	$6335.34	Books
QPW-6061405093	8/15/2018	Kristan Habbal	5610831041946699	Bubblebox	$55161.25	Kids
WJN-1853732166	8/14/2018	Bendix Brookes	3558832587581063	Blogtag	$21637.30	Industrial
XZH-1322343507	11/14/2018	Malvin Farthing	3588908158561611	Zooveo	$84420.73	Automotive
QZQ-1306273697	3/24/2019	Elvina Ruggier	3548131149758175	Chatterpoint	$69886.11	Computers
BVI-0223374792	9/9/2018	Amelia Degg	3539565935831764	Browseblab	$39541.23	Kids
LAH-7024313160	6/4/2019	Cate Hodge	337941446281437	Innojam	$54072.23	Sports
GUY-3923354983	3/8/2019	Shermy Farnes	3536944561614021	Kwimbee	$48395.44	Home
KQF-9592403982	8/7/2018	Vernon Shone	3557047856817145	Bubblebox	$94978.74	Grocery
WFC-8009463929	5/12/2019	Bibi Jordan	6763747004038804537	Skinix	$38593.22	Sports
GLL-8139786420	11/12/2018	Madison Stiggles	6767213408129167413	Oba	$41093.98	Jewelery
IYZ-7733918865	5/1/2019	Reg Poxton	5602210528095215	Ooba	$87522.28	Tools
DWM-3113645790	4/6/2019	Kippie Beavis	4913373301059407	Avaveo	$29799.39	Tools
PXM-6364292901	5/21/2019	Debi Vogelein	3543422575032846	Voonyx	$38731.52	Electronics
SYM-5095108318	3/7/2019	Quintina Syphas	3533023173461577	Trilith	$66443.16	Home
XTW-3261077728	6/26/2019	Bartel Pirozzi	5010129077959959	Viva	$37183.48	Computers
NCJ-0247492678	8/21/2018	Laural Naulty	3541712077991099	Yakidoo	$47223.29	Shoes
ZMG-7657501707	1/26/2019	Austin Ivory	3569801229848245	Tagtune	$64249.59	Baby
ZEZ-8210115158	10/22/2018	Ralph Hopkynson	5100170804645603	Edgeclub	$26521.00	Beauty
ZFO-1487004195	7/20/2019	Beau Spickett	3563380250287926	Ailane	$39244.07	Games
VGE-8879618716	4/18/2019	Eldridge Rounsivall	5572682440601104	Yata	$47591.19	Sports
HBO-6944249877	6/27/2019	Jamie Meeland	56022409267518016	Quimm	$30025.58	Kids
IJN-7425311140	5/24/2019	Gerrie Ream	3578360560014742	Chatterbridge	$598.81	Home
ZFS-1476920418	12/24/2018	Althea Charnick	6304558167882590378	Jetpulse	$24650.39	Music
NGB-8724794458	10/11/2018	Germaine Overshott	5641828865704124	Yoveo	$65655.74	Garden
DYS-4926428611	6/20/2019	Barri Deedes	4913645209244136	Meezzy	$32185.23	Sports
SBF-8252869634	2/2/2019	Jorgan Simnett	5002356520254437	Tagopia	$93943.33	Shoes
PYU-8189662411	7/30/2018	Shalom Triner	3576712772191068	Jatri	$66224.13	Computers
PAG-2171947848	4/27/2019	Basilius Keggin	3532165584043519	Geba	$91508.68	Music
QTQ-5120934964	6/1/2019	Wolfy Drejer	201760378111732	Yata	$5636.59	Movies
BHY-4741347949	12/7/2018	Jessamine Kiessel	3532275182027622	Skivee	$78104.59	Tools
VUU-0109540370	9/11/2018	Dickie Capoun	3562533858806239	Bluezoom	$23892.61	Music
YAM-3489204083	4/27/2019	Nickie Dukesbury	6761351903908900047	Myworks	$13180.49	Beauty
ECR-0244640443	10/6/2018	Husein Greenhalf	3567025483641607	Thoughtbeat	$82672.78	Industrial
PCZ-2353596682	3/14/2019	Mahmoud Goalby	374283339109167	Jabbercube	$54898.00	Health
JXB-7088942747	3/1/2019	Margit Vitet	5602259184420480	Voolia	$76483.93	Toys
AHI-1332011933	10/4/2018	Fedora Hunn	5020327405110281	Skippad	$24164.95	Home
DYK-9713333621	6/26/2019	Sheila Phorsby	3561980816259327	Topicblab	$50944.86	Toys
EQH-0472614612	4/9/2019	Adelaida Caris	6384269469712628	Yakijo	$4103.28	Books
JCK-5552187826	6/26/2019	Noel Dixcee	3547841708949236	Wikivu	$78639.78	Computers
BFA-6753335203	9/10/2018	Gawain Langland	6377436603335306	Mydeo	$92993.16	Garden
YKB-8738789335	7/8/2019	Finley Peacher	370010179841201	Rhycero	$11016.27	Garden
JAU-9070675471	2/25/2019	Tonia Kopmann	3557452756770958	Rhyloo	$33676.00	Automotive
WQO-1819994989	9/1/2018	Kelly Attoc	5018723981970763	Tagcat	$60476.18	Sports
PHU-2259224075	7/2/2019	Brenda Fishley	3585281833702783	Browsebug	$85668.39	Grocery
UJF-5353869607	6/14/2019	Glennis Lankford	3549052846749730	Teklist	$82888.13	Beauty
WHQ-3715209281	7/1/2019	Dane Gumn	3581768333990425	Twitterbeat	$1957.36	Movies
UJI-5372145084	8/15/2018	Welch Pattie	3560437629436262	Abata	$93446.93	Jewelery
FHV-9847056592	4/29/2019	Trudey O'Kane	3564333174053725	Eazzy	$30416.15	Games
KCC-3661151345	10/15/2018	Jeniece Bohlje	677139404018810773	Jabbersphere	$39114.34	Tools
KEO-7437072021	8/10/2018	Benny Paradis	493602523142438068	Linktype	$26460.58	Health
KSE-2823432558	6/2/2019	Caterina Bagguley	5585222186279230	Vimbo	$41086.46	Garden
ZID-1525757922	12/19/2018	Pate Petronis	3557390388801132	Mydeo	$37238.33	Computers
PJB-4611943238	7/28/2018	Helenelizabeth Smallcomb	3535592657100040	Minyx	$71353.16	Clothing
BWM-0679924200	11/28/2018	Lezlie Guillain	5235831327694414	Skipfire	$83568.31	Garden
PEJ-6730392838	5/2/2019	Rachele Abendroth	6371342845042443	Topdrive	$54209.81	Clothing
AXT-0697532328	11/30/2018	Zaccaria Fosserd	3574566913253126	Rhyloo	$41660.83	Toys
VKV-0092171968	4/4/2019	Reina McCarrell	5602254774123107	Flipbug	$61656.79	Toys
YHV-6269540899	2/5/2019	Eilis Rammell	374622330233973	Eabox	$20706.64	Books
BGG-8645357491	11/6/2018	Gillie Bontoft	3578735936298303	Chatterbridge	$34963.31	Movies
GUI-4006255684	3/20/2019	Sidonia Millwater	560225804053790876	Aimbo	$75920.77	Movies
BHE-7688764257	6/16/2019	Eugenie Rogerson	4508444967447706	Oyoyo	$48797.63	Music
DFO-9921653180	3/31/2019	Margot Bywater	3536265124248556	Edgepulse	$16862.98	Outdoors
QJO-8131097852	8/3/2018	Saul Penhaligon	374288864555981	Meemm	$94578.17	Electronics
UJA-3550366454	2/24/2019	Glynn Crossley	337941199393306	Lazzy	$64056.39	Movies
FWT-4584654188	8/18/2018	Edy Mildenhall	201474597678691	Oyoyo	$48265.81	Computers
LAR-4983107379	9/6/2018	Emogene Goodie	3577453904853189	Zoomcast	$44036.78	Tools
PVS-3250811611	8/14/2018	Basil Kenwright	3584870341531881	Pixoboo	$56957.46	Clothing
OPD-0836976931	11/16/2018	Weidar Dewey	3555367532792864	Babbleset	$14103.34	Shoes
RHH-6346450696	5/14/2019	Prue MacDunleavy	6771224781277172768	Gabtune	$21379.88	Toys
ERP-9488004174	11/10/2018	Arabella Phillimore	630494146766773079	Twiyo	$88825.92	Beauty
WVF-2146505695	8/4/2018	Stafani Pacitti	3584204260657388	Livetube	$78968.95	Computers
WZW-6088061055	6/23/2019	Chaunce Brusby	3543208016166156	Zoovu	$47900.52	Games
HMA-3919310046	7/6/2019	Allard Murricanes	5100137079129563	Eare	$14251.48	Toys
QGN-7858328901	12/14/2018	Rainer Antonietti	3534348117767865	Aivee	$11318.46	Garden
EPB-1626977766	8/10/2018	Justis Jurries	3530610567071492	Skinte	$99332.97	Toys
QCT-5691039349	2/22/2019	Dianemarie Klimowski	3582363611361561	Vidoo	$70234.10	Computers
MMK-8152722427	10/16/2018	Wainwright Lachaize	4913952843308180	Wordpedia	$35045.31	Music
PFO-2210355793	12/28/2018	Cy Renish	675999628826664740	Trudeo	$12188.00	Music
CXX-1547316663	6/16/2019	Cherish Dmisek	3584623485089350	Meembee	$94604.96	Garden
RYQ-3539564916	3/8/2019	Leonid Blaszczak	3545951123412637	Yombu	$96698.68	Home
TCT-6907755947	4/13/2019	Lonnie Dudmesh	5602222409831303	Yakijo	$32394.77	Baby
YCA-1340381614	5/9/2019	Coraline Erley	3574751122065335	Edgeify	$4118.38	Baby
TCN-9522109475	8/26/2018	Jaime Rubinsky	3568795052720060	Voonte	$44926.18	Clothing
FWX-6633949518	8/13/2018	Reina Miner	3570095969651813	Wikizz	$32454.59	Music
WUR-5283851018	12/16/2018	Tess Sprackling	3554248383460937	Dabtype	$54509.58	Health
FFF-7364127329	8/5/2018	Katy Binden	3564824251126053	Divape	$75230.20	Health
LEB-6212332148	2/7/2019	Leopold Robertazzi	4017956370241	Latz	$4367.32	Toys
GDJ-3564931314	4/2/2019	Bendite Hutten	3582423190319420	Blogpad	$15485.18	Jewelery
FTV-3671559489	9/9/2018	Joseph Phillipson	3574577999602763	Einti	$12767.52	Tools
FVB-3450496650	9/27/2018	Alfie Clampe	30504694805305	Eabox	$64894.53	Jewelery
XVA-5045907046	7/23/2018	Art Pren	3581368205804786	Jabbertype	$86530.97	Tools
PQZ-6398207482	8/19/2018	Aloysius Chasson	201929663416870	Mydeo	$7966.73	Shoes
KOR-5642222354	6/5/2019	Gothart Flieger	56022380605350968	Eire	$251.03	Shoes
VLE-9900600386	2/11/2019	Tamar Gulberg	5893131740513367496	Youtags	$69637.95	Automotive
PBF-0469428853	4/24/2019	Lisetta Luckham	4041590850830	Meezzy	$92328.79	Clothing
FWC-5932378827	5/11/2019	Zaria Sharple	374622989758312	Jamia	$20906.68	Clothing
HKI-5091347141	6/22/2019	Whitney Mariault	5477272054083090	Tekfly	$17819.10	Health
WEF-7141153227	6/8/2019	Prudy Danilevich	5018729424725322225	Photojam	$59196.87	Movies
DAE-6221281267	3/3/2019	Gian Kennler	3559656907531949	Flashpoint	$31069.51	Garden
FXO-1219141558	5/30/2019	Andria Skirvin	201700532090695	Mydo	$42663.20	Beauty
IKJ-2576561039	10/6/2018	Marisa Sylvaine	378332792383482	Quire	$13014.19	Industrial
ZYB-2606083891	8/12/2018	Drucill O'Codihie	4936133533335030	Babbleblab	$78295.09	Sports
SYB-5384840396	7/6/2019	Hastings Glowacz	3577257355955413	Fliptune	$91478.32	Home
HEJ-2737589210	2/10/2019	Geoffry Povele	6304762740165318592	Thoughtstorm	$48782.45	Kids
LWT-6379588266	3/10/2019	Karly Eastway	5532918884874180	Roomm	$66128.45	Home
JBM-9795233503	3/1/2019	Coral Rosenfrucht	36884614908635	Photobug	$91271.11	Health
MRC-5912336233	10/23/2018	Mariette Swindells	676191135625573886	Ooba	$49890.63	Health
XLB-0049893955	12/10/2018	Barn Sharphouse	3588628556334235	Photospace	$114.56	Music
PUZ-3195325670	2/4/2019	Samson Ramshaw	3577543125864757	Jaxworks	$94999.81	Movies
ZOL-3343633314	3/24/2019	Kassey Ryson	3537898236874304	Skilith	$58772.66	Garden
LAQ-0698651099	3/10/2019	Walsh Turrill	58938255715736331	Fadeo	$44832.24	Books
CDC-9083065841	3/22/2019	Ketti Warbey	3568815650815292	Jayo	$92185.40	Music
LVG-7090509644	6/13/2019	Marysa Yashnov	67638037051129287	Npath	$61186.39	Electronics
NFS-4283752020	10/23/2018	Bertrand Jirik	3550008613450742	Jabberstorm	$99632.35	Jewelery
IWK-1115020479	4/15/2019	Arman Pennyman	5018645629236218	Blogtags	$3084.32	Home
ZKT-1026933564	1/31/2019	Jenni Boatswain	3555042816820083	Digitube	$73816.87	Garden
WAK-7069098598	7/4/2019	Haywood O' Cuolahan	30426817798094	Plajo	$37850.32	Health
AGD-1622438502	11/5/2018	Aldo Weymouth	5221942604442736	Flashset	$43521.11	Tools
ZQS-6747223708	7/25/2018	Aileen Dredge	502051981205321585	Wikivu	$256.97	Garden
LZX-0383662490	9/2/2018	Nerissa Blastock	5436497522696559	Wikizz	$54111.72	Grocery
LJO-0118940719	11/23/2018	Dorothee Fairburn	490538806724168764	Bubbletube	$46054.01	Garden
TEN-9782593973	4/15/2019	Bebe Hrinchishin	3542520110796428	Pixonyx	$35651.88	Music
AIK-5175938884	9/10/2018	Kassia Wickenden	3552503953456158	Chatterpoint	$20520.11	Home
SKZ-9377189690	10/28/2018	Melba Brandacci	3541635697066333	Vinte	$58608.15	Shoes
HUB-4509884062	3/31/2019	Winnah Magnar	5048375174503192	Twitterwire	$64635.66	Outdoors
XZL-1434220538	4/7/2019	Myrlene Trynor	3587496889822859	Jayo	$61573.45	Shoes
DVK-8685412925	5/13/2019	Arlyne Jerwood	4911055974365909906	Gabcube	$55728.21	Jewelery
MIB-0888150719	7/13/2019	Willy Honisch	3565045892258654	Miboo	$20950.17	Garden
MPX-5218575711	7/26/2018	Barbabra Beecham	372301447319494	Meezzy	$51821.18	Electronics
WAX-4265115307	3/2/2019	Kile Tomaskov	3585160272597682	Talane	$23072.56	Tools
VVJ-9297328493	6/23/2019	Cybill Robertacci	3586655284911150	Flashspan	$48434.24	Sports
LQG-3984959985	4/25/2019	Dido Dumini	67610919940734454	Meembee	$86295.95	Toys
TNJ-6564888830	2/4/2019	Dorisa Boule	3553941388801037	Shuffletag	$76621.60	Shoes
ILA-7868757804	6/28/2019	Kimbra Emsden	372301554586919	Oodoo	$49838.82	Jewelery
RWV-5536693848	6/6/2019	Kaitlyn Whatham	3543975031789580	Quimm	$27213.77	Clothing
YQS-6391280810	5/23/2019	Agnella Voyce	3531434614017252	Topdrive	$16955.71	Tools
DTB-5779488396	11/13/2018	Cecily Chadwick	201876124086893	Zoomcast	$39562.68	Games
SJR-9423499984	8/21/2018	Hoyt Crowson	201819018953661	Oba	$28091.75	Clothing
ADD-7474216918	4/15/2019	Amanda Plover	5610833947666371	Skimia	$7481.53	Kids
KTF-9785941914	9/4/2018	Galven Pley	4017954736443277	Oyoloo	$44417.06	Jewelery
VXE-0645262541	12/4/2018	Coraline Van der Mark	6304955860482820240	Skidoo	$51601.81	Clothing
VAR-1145856885	1/30/2019	Kele Hasselby	201857071417745	Latz	$66454.34	Tools
XUQ-3901187841	9/30/2018	Teresita Grass	3566910564643369	Leenti	$56393.88	Music
NXB-3288210862	8/8/2018	Ignatius Paffett	3573741040250342	Kwimbee	$44422.99	Clothing
OIN-0430437000	8/23/2018	Fremont Torrie	4913282605879107	Omba	$12575.29	Industrial
HJD-0916743683	10/23/2018	Aaron Garrettson	3550381765594744	Edgeify	$11754.20	Automotive
OZU-3388404168	11/30/2018	Bernarr Rumsey	3570659572196332	Trilia	$90622.24	Outdoors
WRC-6431298564	11/7/2018	Bryn Irlam	6382601792875882	Snaptags	$13243.42	Baby
JNQ-2628248654	8/11/2018	Fidel Tetlow	3576580368530100	Fanoodle	$5595.86	Beauty
JES-1007281511	3/21/2019	Wallie Gay	3551897337829440	Wikibox	$53714.21	Outdoors
QTS-8130106966	1/7/2019	Andria Ramsdell	4508098937073966	Livepath	$72149.04	Home
JUI-9829951756	10/25/2018	Carlotta Snoxall	5610968360428083306	Fliptune	$51304.17	Sports
DLA-6878068532	6/11/2019	Rice Labuschagne	6767716035377358	Eadel	$76035.04	Grocery
ZYQ-7205452685	2/9/2019	Eden Domoni	5602225272437942	Oyondu	$31375.65	Grocery
PQV-3322219901	11/13/2018	Carolan Mingey	5602243762851555	Vinder	$78713.57	Grocery
HBC-3007533694	1/15/2019	Malachi Eymer	4017957169139	Feedfish	$13315.22	Music
BTW-9589360721	3/10/2019	Deb Hiddy	6383058318184332	Jayo	$80560.47	Baby
UVF-2386150717	1/2/2019	Ferdie Eplett	5610971657364421	Topiclounge	$89319.60	Baby
JXK-4669800861	2/28/2019	Melony Payler	30366676081879	Mudo	$50935.22	Home
GDF-9079641410	9/20/2018	Pebrook Corradengo	3545627349740601	Trudoo	$58617.35	Home
NHX-1288229810	7/29/2018	Venus Killner	5641820158689971	Quinu	$60309.43	Health
RLN-4900382361	12/17/2018	Morly Meriet	6334414504173144	Izio	$53389.51	Toys
WKW-9958173080	1/19/2019	Brandtr Hearnden	3532731250785301	Jaxspan	$32230.21	Clothing
CDI-2574249063	11/26/2018	Nicolas Arnull	6771980897361300182	Oozz	$35660.31	Kids
FKC-7039504375	8/4/2018	Sadie Lorenz	3586920448348651	Linktype	$75177.91	Jewelery
KWW-3401985579	4/15/2019	Pierette Jeynes	374622256401422	Zoomdog	$9229.42	Music
GYY-0954115676	1/12/2019	Fanya Jayes	3580978478963506	Devpulse	$36538.78	Industrial
LLB-0912019386	6/1/2019	Sandi Oxtoby	501808527401930253	Thoughtstorm	$3233.88	Outdoors
VAL-2995525377	1/2/2019	Kerby Kelberer	4026307372755893	Tanoodle	$22056.81	Beauty
MJV-4436635486	6/7/2019	Lancelot Cumberland	5010123269239643	Jabbertype	$72210.16	Baby
VFT-9060542729	5/17/2019	Raff Kindley	3552653796657254	Wikizz	$51869.83	Sports
LAC-6457475123	6/23/2019	Wendy Garrit	201482468846727	Meevee	$91248.79	Clothing
CZS-7347303069	10/2/2018	Hewe Dorking	3534892543608045	Kwilith	$45649.12	Electronics
IRR-0887996460	7/17/2019	Morse Spancock	3547388194626449	Vinder	$94624.70	Books
SHV-9144182997	5/3/2019	Menard Shawl	5100149675320504	Quire	$6961.46	Computers
EMG-8846932226	6/13/2019	Kathi Strickland	374622183936763	Twimm	$29279.71	Industrial
BXC-4549700039	11/25/2018	Cary Bellefant	56022498688978628	Browsetype	$98593.68	Electronics
CHF-4993267932	4/23/2019	Betti Pinnion	3535502643309837	Quinu	$84899.69	Movies
NOF-3586502946	3/31/2019	Adolph Lebbon	5221673217651625	Oyoba	$18999.62	Games
UWB-7818204939	10/2/2018	Kathie Woodfin	3536665852828307	Quamba	$31814.10	Music
PAA-8759582423	7/5/2019	Fidelia MattiCCI	30073814417250	Cogidoo	$14779.97	Kids
ZRJ-3483718109	9/27/2018	Lura Pharro	58939469124713463	Oyoba	$28545.51	Movies
BJU-0287658362	8/28/2018	Alan Abram	372520537674902	Realblab	$70212.68	Toys
OPU-7111333406	1/8/2019	Leroi Attenborough	3556259475099960	Yoveo	$53741.88	Garden
USE-6692066118	5/7/2019	Valentina Cremin	676228116703377066	Dynazzy	$32394.41	Kids
ECN-9061296926	8/12/2018	Frasier Olsson	5100175701698126	Jaxspan	$97850.75	Grocery
HJU-7971670591	11/30/2018	Filbert Heliot	3548504021443134	Kwimbee	$80210.15	Home
AAO-0857129074	10/16/2018	Mendy Murdy	677193932448552733	Zoozzy	$9835.46	Music
JYX-6017055887	7/12/2019	Flory Ellens	6759089691597217467	Devpoint	$2283.20	Kids
GNW-2413660346	11/6/2018	Kalil Ryley	30091242890724	Ailane	$45563.62	Clothing
ECJ-0290930983	1/4/2019	Gay Kevern	3584827165663455	Yakidoo	$3659.73	Music
LWK-4707110598	11/8/2018	Neal Selburn	3570507038900161	Tagopia	$23655.65	Outdoors
SEY-5819024476	7/12/2019	Martelle Fould	4911044626307257752	Zoonoodle	$42912.15	Games
QEO-9094875059	7/15/2019	Merrill Agge	67713717271769909	Yabox	$42919.50	Shoes
OKR-1126389583	7/28/2018	Rica Pool	6767230103134510884	Thoughtworks	$86125.10	Games
QPR-4258364255	11/3/2018	Esteban Yurukhin	3557743805748254	Youopia	$97798.49	Industrial
LME-6930191895	4/5/2019	Ram Culpen	3560224601831094	Thoughtworks	$13540.05	Kids
FPW-5601397769	4/20/2019	Roosevelt Deerr	3587830740697904	Agivu	$59664.79	Tools
MJK-2800159133	4/30/2019	Alyosha Bolderson	3549378312967898	Leenti	$24402.48	Industrial
WQX-4581799010	7/27/2018	Nevin Katzmann	3577282410061916	Youtags	$89783.82	Electronics
BMN-3372668637	7/8/2019	Donavon Dunhill	3529941517990884	Skalith	$46730.29	Electronics
TCD-6321285507	9/27/2018	Everard Thoma	4003302669866	Edgetag	$89379.82	Tools
RBD-1096439329	4/21/2019	Lyndel Zannini	3541282127107724	Dabshots	$5745.27	Baby
